"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_add_string__expect_exception","","Thu Feb 20 18:47:06 GMT 2025","passed","Thu Feb 20 18:47:06 GMT 2025","","test_mymath","",""
"","0","test_add_positive","","Thu Feb 20 18:47:06 GMT 2025","passed","Thu Feb 20 18:47:06 GMT 2025","","test_mymath","",""
"","1","test_add_zero","","Thu Feb 20 18:47:06 GMT 2025","passed","Thu Feb 20 18:47:06 GMT 2025","","test_mymath","",""
"","1","test_add_negative","","Thu Feb 20 18:47:06 GMT 2025","passed","Thu Feb 20 18:47:06 GMT 2025","","test_mymath","",""
